0x4c7f 0x294e77d67153 E 673254256
0x12e96 0x4cc6 E 673303818
0x12e96 0x4cc6 X 673308758
0x12e96 0x4d06 E 673311706
0x12e96 0x4d06 X 673313953
0x12ed6 0x4d3e E 673325508
0x12ed6 0x4d3e X 673327828
0x32d9 0x4dc8 E 673469880
0x13230 0x3336 E 673476232
0x13028 0x1327a E 673479169
0x4fe8 0x130db E 673483490
0x505f 0x503e E 673486203
0x12f8c 0x51c9 E 673489272
0x12f8c 0x51c9 X 673496937
0x12f8c 0x52e2 E 673499202
0x12f8c 0x52e2 X 673512476
0x12f8c 0x530e E 673514745
0x12f8c 0x530e X 673521245
0x12f8c 0x533d E 673523397
0x12f8c 0x533d X 673529618
0x12f8c 0x5398 E 673531675
0x12f8c 0x5398 X 673540930
0x5b90 0x54a9 E 673544775
0x5a37 0x5bbc E 673547687
0x54c7 0x5a63 E 673549953
0x54c7 0x5a63 X 673551910
0x17666 0x5b50 E 673558565
0x1706a 0x176a3 E 673562879
0x1706a 0x176a3 X 673565834
0x17666 0x5b50 X 673568225
0xeff9 0x5b6f E 673590397
0xefcc 0xf01d E 673593018
0xefcc 0xf01d X 673595098
0xf0d2 0xf0bc E 673597182
0xf0d2 0xf0bc X 673601865
0xeff9 0x5b6f X 673603855
0x5a37 0x5bbc X 673606251
0x7de0 0x5bd5 E 673610055
0x7de0 0x5bd5 X 673702123
0x5b90 0x54a9 X 673704778
0x505f 0x503e X 673706995
0x4fe8 0x130db X 673709050
0x650a 0x131b7 E 673712157
0x54c7 0x6539 E 673714120
0x54c7 0x6539 X 673716067
0x6363 0x6798 E 673718591
0x6363 0x6798 X 673720606
0x17666 0x67ef E 673724261
0x1706a 0x176a3 E 673726810
0x1706a 0x176a3 X 673729140
0x17666 0x67ef X 673731261
0x63ea 0x680e E 673733347
0x1175c 0x6421 E 673735925
0x12c64 0x11787 E 673738177
0x12c64 0x11787 X 673740232
0x1175c 0x6421 X 673742187
0x63ea 0x680e X 673746002
0x9823 0x746a E 673749028
0x82b1 0x9863 E 673751165
0x7cb6 0x83ff E 673753360
0x17666 0x7d5b E 673755765
0x1706a 0x176a3 E 673757748
0x1706a 0x176a3 X 673760321
0x17666 0x7d5b X 673762268
0x7cb6 0x83ff X 673764192
0x82b1 0x9863 X 673766363
0x82b1 0x9863 E 673769404
0x82b1 0x9863 X 673773175
0x82b1 0x9863 E 673788029
0x82b1 0x9863 X 673791169
0x82b1 0x9863 E 673794762
0x82b1 0x9863 X 673798519
0x82b1 0x9863 E 673801883
0x82b1 0x9863 X 673804407
0x82b1 0x9863 E 673807882
0x82b1 0x9863 X 673810787
0x82b1 0x9863 E 673813695
0x82b1 0x9863 X 673817429
0x82b1 0x9863 E 673820971
0x82b1 0x9863 X 673824627
0x82b1 0x9863 E 673828437
0x82b1 0x9863 X 673831514
0x7f97 0x9a03 E 673834903
0x7f97 0x9a03 X 673838567
0x82b1 0x9863 E 673842553
0x82b1 0x9863 X 673846015
0x7f97 0x9a03 E 673849893
0x7f97 0x9a03 X 673853787
0x82b1 0x9863 E 673858282
0x82b1 0x9863 X 673862290
0x82b1 0x9863 E 673865991
0x82b1 0x9863 X 673869611
0x82b1 0x9863 E 673873079
0x82b1 0x9863 X 673876456
0x11a89 0xa190 E 673880528
0x12b10 0x11aef E 673885975
0x12b10 0x11aef X 673889579
